Calendar Year,ACARA SML ID,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%)
2019,40259,22818,Sunrise Christian School Fullarton,Fullarton,SA,5063,Independent,Primary,School Single Entity,Individual Reporting,http://www.sunrise.sa.edu.au,Association of Independent Schools of South Australia,http://www.ais.sa.edu.au,R-7,Major Cities,1127,91,3,10,31,56,17,10.7,22,6.2,176,87,89,176,0,16
2019,40299,7467,Port Neill Primary School,Port Neill,SA,5604,Government,Primary,School Single Entity,Individual Reporting,http://www.ptneill.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Remote,983,38,31,40,26,3,2,1.8,3,1.7,13,6,7,13,8,0
2019,40309,6063,Thebarton Senior College,Torrensville,SA,5031,Government,Secondary,School Single Entity,Individual Reporting,http://www.tsc.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,"U, 11-12",Major Cities,978,,41,27,20,11,116,102.7,33,25.4,1287,716,571,1027.2,2,69
2019,40318,85516,Sunrise Christian School Marion,Marion,SA,5043,Independent,Combined,School Single Entity,Individual Reporting,https://sunrise.sa.edu.au/marion/,Association of Independent Schools of South Australia,http://www.ais.sa.edu.au,R-10,Major Cities,1076,78,8,25,36,31,25,17.3,24,8.3,255,129,126,255,2,43
2019,40356,285,Muirden Senior College,Adelaide,SA,5000,Independent,Secondary,School Single Entity,Individual Reporting,http://www.muirden.sa.edu.au,Association of Independent Schools of South Australia,http://www.ais.sa.edu.au,11-12,Major Cities,,,,,,,13,11.9,1,1,94,60,34,90.5,1,
2019,40357,303,Sacred Heart College,Somerton Park,SA,5044,Catholic,Combined,School Head Campus,Rolled Reporting,http://www.shc.sa.edu.au,Catholic Education South Australia,http://www.cesa.catholic.edu.au,7-12,Major Cities,1067,76,8,27,36,28,146,129.4,76,64.7,1823,743,1080,1822.8,2,8
2019,40421,6072,Northern Adelaide Senior College,Elizabeth,SA,5112,Government,Secondary,School Single Entity,Individual Reporting,http://www.northernadelaidesc.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,11-12,Major Cities,912,,70,23,7,1,50,42.6,30,25.4,516,293,223,487.9,11,17
2019,40422,6080,Marden Senior College,Marden,SA,5070,Government,Secondary,School Single Entity,Individual Reporting,http://www.mardensc.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,11-12,Major Cities,1053,,16,26,33,25,44,37,16,14,655,432,223,436.1,0,18
2019,40423,6088,Edward John Eyre High School,Whyalla Norrie,SA,5608,Government,Secondary,School Single Entity,Individual Reporting,http://www.ejehs.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,10-12,Outer Regional,953,,40,36,18,5,31,31,33,29.9,524,252,272,524,15,4
2019,40487,7473,Port Lincoln Junior Primary School,Port Lincoln,SA,5606,Government,Primary,School Single Entity,Individual Reporting,http://www.lincolnjp.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,"U, R-2",Remote,988,,26,40,24,10,26,22.2,19,11.7,287,144,143,287,11,17
